kegg_pathway	entrezgene	kegg_pathway_definition
00650	b2662	Butanoate metabolism
00650	b2844	Butanoate metabolism
00650	b3114	Butanoate metabolism
00650	b3517	Butanoate metabolism
00650	b3670	Butanoate metabolism
00650	b3671	Butanoate metabolism
00650	b3769	Butanoate metabolism
00650	b3846	Butanoate metabolism
00650	b3882	Butanoate metabolism
00650	b3951	Butanoate metabolism
00650	b4151	Butanoate metabolism
00650	b4152	Butanoate metabolism
00650	b4153	Butanoate metabolism
00650	b4154	Butanoate metabolism
00660	b0071	C5-Branched dibasic acid metabolism
00660	b0072	C5-Branched dibasic acid metabolism
00660	b0073	C5-Branched dibasic acid metabolism
00660	b0077	C5-Branched dibasic acid metabolism
00660	b0078	C5-Branched dibasic acid metabolism
00660	b0728	C5-Branched dibasic acid metabolism
00660	b0729	C5-Branched dibasic acid metabolism
00660	b3670	C5-Branched dibasic acid metabolism
00660	b3671	C5-Branched dibasic acid metabolism
00660	b3769	C5-Branched dibasic acid metabolism
00670	b0048	One carbon pool by folate
00670	b0529	One carbon pool by folate
00670	b1232	One carbon pool by folate
00670	b1606	One carbon pool by folate
00670	b1849	One carbon pool by folate
00670	b2500	One carbon pool by folate
00670	b2551	One carbon pool by folate
00670	b2827	One carbon pool by folate
00670	b2905	One carbon pool by folate
00670	b2912	One carbon pool by folate
00670	b3288	One carbon pool by folate
00670	b3941	One carbon pool by folate
00670	b4006	One carbon pool by folate
00670	b4019	One carbon pool by folate
00680	b0355	Methane metabolism
00680	b0356	Methane metabolism
00680	b0755	Methane metabolism
00680	b0907	Methane metabolism
00680	b1702	Methane metabolism
00680	b1723	Methane metabolism
00680	b2097	Methane metabolism
00680	b2154	Methane metabolism
00680	b2296	Methane metabolism
00680	b2297	Methane metabolism
00680	b2551	Methane metabolism
00680	b2779	Methane metabolism
00680	b2913	Methane metabolism
00680	b2925	Methane metabolism
00680	b3236	Methane metabolism
00680	b3612	Methane metabolism
00680	b3892	Methane metabolism
00680	b3893	Methane metabolism
00680	b3894	Methane metabolism
00680	b3916	Methane metabolism
00680	b3925	Methane metabolism
00680	b3956	Methane metabolism
00680	b4069	Methane metabolism
00680	b4232	Methane metabolism
00680	b4388	Methane metabolism
00680	b4395	Methane metabolism
00730	b0383	Thiamine metabolism
00730	b0417	Thiamine metabolism
00730	b0420	Thiamine metabolism
00730	b0423	Thiamine metabolism
00730	b0474	Thiamine metabolism
00730	b1106	Thiamine metabolism
00730	b2103	Thiamine metabolism
00730	b2104	Thiamine metabolism
00730	b2530	Thiamine metabolism
00730	b3990	Thiamine metabolism
00730	b3991	Thiamine metabolism
00730	b3992	Thiamine metabolism
00730	b3993	Thiamine metabolism
00730	b3994	Thiamine metabolism
00730	b4161	Thiamine metabolism
00740	b0025	Riboflavin metabolism
00740	b0414	Riboflavin metabolism
00740	b0415	Riboflavin metabolism
00740	b0844	Riboflavin metabolism
00740	b0937	Riboflavin metabolism
00740	b0980	Riboflavin metabolism
00740	b1277	Riboflavin metabolism
00740	b1662	Riboflavin metabolism
00740	b3041	Riboflavin metabolism
00740	b3812	Riboflavin metabolism
00740	b3844	Riboflavin metabolism
00740	b4055	Riboflavin metabolism
00750	b0004	Vitamin B6 metabolism
00750	b0052	Vitamin B6 metabolism
00750	b0907	Vitamin B6 metabolism
00750	b1406	Vitamin B6 metabolism
00750	b1636	Vitamin B6 metabolism
00750	b1638	Vitamin B6 metabolism
00750	b2320	Vitamin B6 metabolism
00750	b2418	Vitamin B6 metabolism
00750	b2564	Vitamin B6 metabolism
00750	b2927	Vitamin B6 metabolism
00760	b0109	Nicotinate and nicotinamide metabolism
00760	b0480	Nicotinate and nicotinamide metabolism
00760	b0639	Nicotinate and nicotinamide metabolism
00760	b0750	Nicotinate and nicotinamide metabolism
00760	b0931	Nicotinate and nicotinamide metabolism
00760	b1525	Nicotinate and nicotinamide metabolism
00760	b1602	Nicotinate and nicotinamide metabolism
00760	b1603	Nicotinate and nicotinamide metabolism
00760	b1740	Nicotinate and nicotinamide metabolism
00760	b1768	Nicotinate and nicotinamide metabolism
00760	b2574	Nicotinate and nicotinamide metabolism
00760	b2615	Nicotinate and nicotinamide metabolism
00760	b2661	Nicotinate and nicotinamide metabolism
00760	b2700	Nicotinate and nicotinamide metabolism
00760	b2744	Nicotinate and nicotinamide metabolism
00760	b2781	Nicotinate and nicotinamide metabolism
00760	b3399	Nicotinate and nicotinamide metabolism
00760	b3962	Nicotinate and nicotinamide metabolism
00760	b3996	Nicotinate and nicotinamide metabolism
00760	b4374	Nicotinate and nicotinamide metabolism
00760	b4384	Nicotinate and nicotinamide metabolism
00760	b4390	Nicotinate and nicotinamide metabolism
00770	b0077	Pantothenate and CoA biosynthesis
00770	b0078	Pantothenate and CoA biosynthesis
00770	b0103	Pantothenate and CoA biosynthesis
00770	b0131	Pantothenate and CoA biosynthesis
00770	b0133	Pantothenate and CoA biosynthesis
00770	b0134	Pantothenate and CoA biosynthesis
00770	b0404	Pantothenate and CoA biosynthesis
00770	b0425	Pantothenate and CoA biosynthesis
00770	b2146	Pantothenate and CoA biosynthesis
00770	b2147	Pantothenate and CoA biosynthesis
00770	b2563	Pantothenate and CoA biosynthesis
00770	b2781	Pantothenate and CoA biosynthesis
00770	b2873	Pantothenate and CoA biosynthesis
00770	b3475	Pantothenate and CoA biosynthesis
00770	b3634	Pantothenate and CoA biosynthesis
00770	b3639	Pantothenate and CoA biosynthesis
00770	b3670	Pantothenate and CoA biosynthesis
00770	b3671	Pantothenate and CoA biosynthesis
00770	b3769	Pantothenate and CoA biosynthesis
00770	b3770	Pantothenate and CoA biosynthesis
00770	b3771	Pantothenate and CoA biosynthesis
00770	b3774	Pantothenate and CoA biosynthesis
00770	b3974	Pantothenate and CoA biosynthesis
00780	b0180	Biotin metabolism
00780	b0774	Biotin metabolism
00780	b0775	Biotin metabolism
00780	b0776	Biotin metabolism
00780	b0777	Biotin metabolism
00780	b0778	Biotin metabolism
00780	b1093	Biotin metabolism
00780	b1095	Biotin metabolism
00780	b1288	Biotin metabolism
00780	b1593	Biotin metabolism
00780	b2323	Biotin metabolism
00780	b3412	Biotin metabolism
00780	b3551	Biotin metabolism
00780	b3973	Biotin metabolism
00785	b0628	Lipoic acid metabolism
00785	b0630	Lipoic acid metabolism
00785	b4386	Lipoic acid metabolism
00790	b0009	Folate biosynthesis
00790	b0048	Folate biosynthesis
00790	b0142	Folate biosynthesis
00790	b0383	Folate biosynthesis
00790	b0444	Folate biosynthesis
00790	b0781	Folate biosynthesis
00790	b0782	Folate biosynthesis
00790	b0783	Folate biosynthesis
00790	b0785	Folate biosynthesis
00790	b0827	Folate biosynthesis
00790	b1096	Folate biosynthesis
00790	b1277	Folate biosynthesis
00790	b1606	Folate biosynthesis
00790	b1812	Folate biosynthesis
00790	b1865	Folate biosynthesis
00790	b2153	Folate biosynthesis
00790	b2303	Folate biosynthesis
00790	b2315	Folate biosynthesis
00790	b2765	Folate biosynthesis
00790	b2777	Folate biosynthesis
00790	b2794	Folate biosynthesis
00790	b2877	Folate biosynthesis
00790	b3058	Folate biosynthesis
00790	b3177	Folate biosynthesis
00790	b3360	Folate biosynthesis
00790	b3857	Folate biosynthesis
00860	b0154	Porphyrin and chlorophyll metabolism
00860	b0369	Porphyrin and chlorophyll metabolism
00860	b0428	Porphyrin and chlorophyll metabolism
00860	b0475	Porphyrin and chlorophyll metabolism
00860	b0638	Porphyrin and chlorophyll metabolism
00860	b1210	Porphyrin and chlorophyll metabolism
00860	b1270	Porphyrin and chlorophyll metabolism
00860	b1617	Porphyrin and chlorophyll metabolism
00860	b1991	Porphyrin and chlorophyll metabolism
00860	b1992	Porphyrin and chlorophyll metabolism
00860	b1993	Porphyrin and chlorophyll metabolism
00860	b2400	Porphyrin and chlorophyll metabolism
00860	b2436	Porphyrin and chlorophyll metabolism
00860	b2459	Porphyrin and chlorophyll metabolism
00860	b3336	Porphyrin and chlorophyll metabolism
00860	b3368	Porphyrin and chlorophyll metabolism
00860	b3803	Porphyrin and chlorophyll metabolism
00860	b3804	Porphyrin and chlorophyll metabolism
00860	b3805	Porphyrin and chlorophyll metabolism
00860	b3844	Porphyrin and chlorophyll metabolism
00860	b3850	Porphyrin and chlorophyll metabolism
00860	b3867	Porphyrin and chlorophyll metabolism
00860	b3997	Porphyrin and chlorophyll metabolism
00900	b0029	Terpenoid backbone biosynthesis
00900	b0173	Terpenoid backbone biosynthesis
00900	b0174	Terpenoid backbone biosynthesis
00900	b0420	Terpenoid backbone biosynthesis
00900	b0421	Terpenoid backbone biosynthesis
00900	b1208	Terpenoid backbone biosynthesis
00900	b2224	Terpenoid backbone biosynthesis
00900	b2515	Terpenoid backbone biosynthesis
00900	b2746	Terpenoid backbone biosynthesis
00900	b2747	Terpenoid backbone biosynthesis
00900	b2844	Terpenoid backbone biosynthesis
00900	b2889	Terpenoid backbone biosynthesis
00900	b3187	Terpenoid backbone biosynthesis
00903	b1393	Limonene and pinene degradation
00903	b2341	Limonene and pinene degradation
00903	b3846	Limonene and pinene degradation
00910	b0126	Nitrogen metabolism
00910	b0323	Nitrogen metabolism
00910	b0339	Nitrogen metabolism
00910	b0340	Nitrogen metabolism
00910	b0521	Nitrogen metabolism
00910	b0873	Nitrogen metabolism
00910	b1223	Nitrogen metabolism
00910	b1224	Nitrogen metabolism
00910	b1225	Nitrogen metabolism
00910	b1227	Nitrogen metabolism
00910	b1465	Nitrogen metabolism
00910	b1467	Nitrogen metabolism
00910	b1468	Nitrogen metabolism
00910	b1469	Nitrogen metabolism
00910	b1761	Nitrogen metabolism
00910	b2203	Nitrogen metabolism
00910	b2206	Nitrogen metabolism
00910	b2874	Nitrogen metabolism
00910	b3212	Nitrogen metabolism
00910	b3213	Nitrogen metabolism
00910	b3365	Nitrogen metabolism
00910	b3366	Nitrogen metabolism
00910	b3870	Nitrogen metabolism
00910	b4070	Nitrogen metabolism
00920	b0365	Sulfur metabolism
00920	b0366	Sulfur metabolism
00920	b0367	Sulfur metabolism
00920	b0368	Sulfur metabolism
00920	b0894	Sulfur metabolism
00920	b0895	Sulfur metabolism
00920	b0896	Sulfur metabolism
00920	b0933	Sulfur metabolism
00920	b0934	Sulfur metabolism
00920	b0935	Sulfur metabolism
00920	b0936	Sulfur metabolism
00920	b0937	Sulfur metabolism
00920	b1670	Sulfur metabolism
00920	b2414	Sulfur metabolism
00920	b2421	Sulfur metabolism
00920	b2422	Sulfur metabolism
00920	b2423	Sulfur metabolism
00920	b2424	Sulfur metabolism
00920	b2425	Sulfur metabolism
00920	b2521	Sulfur metabolism
00920	b2750	Sulfur metabolism
00920	b2751	Sulfur metabolism
00920	b2752	Sulfur metabolism
00920	b2762	Sulfur metabolism
00920	b2763	Sulfur metabolism
00920	b2764	Sulfur metabolism
00920	b3425	Sulfur metabolism
00920	b3607	Sulfur metabolism
00920	b3917	Sulfur metabolism
00920	b3939	Sulfur metabolism
00920	b4013	Sulfur metabolism
00920	b4214	Sulfur metabolism
00930	b1393	Caprolactam degradation
00930	b2341	Caprolactam degradation
00930	b3846	Caprolactam degradation
00970	b0026	Aminoacyl-tRNA biosynthesis
00970	b0194	Aminoacyl-tRNA biosynthesis
00970	b0202	Aminoacyl-tRNA biosynthesis
00970	b0203	Aminoacyl-tRNA biosynthesis
00970	b0206	Aminoacyl-tRNA biosynthesis
00970	b0216	Aminoacyl-tRNA biosynthesis
00970	b0244	Aminoacyl-tRNA biosynthesis
00970	b0526	Aminoacyl-tRNA biosynthesis
00970	b0536	Aminoacyl-tRNA biosynthesis
00970	b0642	Aminoacyl-tRNA biosynthesis
00970	b0664	Aminoacyl-tRNA biosynthesis
00970	b0665	Aminoacyl-tRNA biosynthesis
00970	b0666	Aminoacyl-tRNA biosynthesis
00970	b0668	Aminoacyl-tRNA biosynthesis
00970	b0670	Aminoacyl-tRNA biosynthesis
00970	b0672	Aminoacyl-tRNA biosynthesis
00970	b0673	Aminoacyl-tRNA biosynthesis
00970	b0680	Aminoacyl-tRNA biosynthesis
00970	b0743	Aminoacyl-tRNA biosynthesis
00970	b0744	Aminoacyl-tRNA biosynthesis
00970	b0745	Aminoacyl-tRNA biosynthesis
00970	b0746	Aminoacyl-tRNA biosynthesis
00970	b0747	Aminoacyl-tRNA biosynthesis
00970	b0748	Aminoacyl-tRNA biosynthesis
00970	b0749	Aminoacyl-tRNA biosynthesis
00970	b0883	Aminoacyl-tRNA biosynthesis
00970	b0893	Aminoacyl-tRNA biosynthesis
00970	b0930	Aminoacyl-tRNA biosynthesis
00970	b0971	Aminoacyl-tRNA biosynthesis
00970	b1032	Aminoacyl-tRNA biosynthesis
00970	b1230	Aminoacyl-tRNA biosynthesis
00970	b1231	Aminoacyl-tRNA biosynthesis
00970	b1637	Aminoacyl-tRNA biosynthesis
00970	b1665	Aminoacyl-tRNA biosynthesis
00970	b1666	Aminoacyl-tRNA biosynthesis
00970	b1713	Aminoacyl-tRNA biosynthesis
00970	b1714	Aminoacyl-tRNA biosynthesis
00970	b1719	Aminoacyl-tRNA biosynthesis
00970	b1866	Aminoacyl-tRNA biosynthesis
00970	b1876	Aminoacyl-tRNA biosynthesis
00970	b1909	Aminoacyl-tRNA biosynthesis
00970	b1910	Aminoacyl-tRNA biosynthesis
00970	b1911	Aminoacyl-tRNA biosynthesis
00970	b1975	Aminoacyl-tRNA biosynthesis
00970	b1977	Aminoacyl-tRNA biosynthesis
00970	b1984	Aminoacyl-tRNA biosynthesis
00970	b1986	Aminoacyl-tRNA biosynthesis
00970	b1989	Aminoacyl-tRNA biosynthesis
00970	b2114	Aminoacyl-tRNA biosynthesis
00970	b2189	Aminoacyl-tRNA biosynthesis
00970	b2348	Aminoacyl-tRNA biosynthesis
00970	b2396	Aminoacyl-tRNA biosynthesis
00970	b2397	Aminoacyl-tRNA biosynthesis
00970	b2400	Aminoacyl-tRNA biosynthesis
00970	b2401	Aminoacyl-tRNA biosynthesis
00970	b2402	Aminoacyl-tRNA biosynthesis
00970	b2403	Aminoacyl-tRNA biosynthesis
00970	b2404	Aminoacyl-tRNA biosynthesis
00970	b2514	Aminoacyl-tRNA biosynthesis
00970	b2590	Aminoacyl-tRNA biosynthesis
00970	b2652	Aminoacyl-tRNA biosynthesis
00970	b2691	Aminoacyl-tRNA biosynthesis
00970	b2692	Aminoacyl-tRNA biosynthesis
00970	b2693	Aminoacyl-tRNA biosynthesis
00970	b2694	Aminoacyl-tRNA biosynthesis
00970	b2695	Aminoacyl-tRNA biosynthesis
00970	b2697	Aminoacyl-tRNA biosynthesis
00970	b2814	Aminoacyl-tRNA biosynthesis
00970	b2815	Aminoacyl-tRNA biosynthesis
00970	b2816	Aminoacyl-tRNA biosynthesis
00970	b2864	Aminoacyl-tRNA biosynthesis
00970	b2890	Aminoacyl-tRNA biosynthesis
00970	b2967	Aminoacyl-tRNA biosynthesis
00970	b3069	Aminoacyl-tRNA biosynthesis
00970	b3171	Aminoacyl-tRNA biosynthesis
00970	b3174	Aminoacyl-tRNA biosynthesis
00970	b3273	Aminoacyl-tRNA biosynthesis
00970	b3276	Aminoacyl-tRNA biosynthesis
00970	b3277	Aminoacyl-tRNA biosynthesis
00970	b3288	Aminoacyl-tRNA biosynthesis
00970	b3384	Aminoacyl-tRNA biosynthesis
00970	b3545	Aminoacyl-tRNA biosynthesis
00970	b3559	Aminoacyl-tRNA biosynthesis
00970	b3560	Aminoacyl-tRNA biosynthesis
00970	b3591	Aminoacyl-tRNA biosynthesis
00970	b3658	Aminoacyl-tRNA biosynthesis
00970	b3757	Aminoacyl-tRNA biosynthesis
00970	b3760	Aminoacyl-tRNA biosynthesis
00970	b3761	Aminoacyl-tRNA biosynthesis
00970	b3796	Aminoacyl-tRNA biosynthesis
00970	b3797	Aminoacyl-tRNA biosynthesis
00970	b3798	Aminoacyl-tRNA biosynthesis
00970	b3799	Aminoacyl-tRNA biosynthesis
00970	b3852	Aminoacyl-tRNA biosynthesis
00970	b3853	Aminoacyl-tRNA biosynthesis
00970	b3969	Aminoacyl-tRNA biosynthesis
00970	b3976	Aminoacyl-tRNA biosynthesis
00970	b3977	Aminoacyl-tRNA biosynthesis
00970	b3978	Aminoacyl-tRNA biosynthesis
00970	b3979	Aminoacyl-tRNA biosynthesis
00970	b4008	Aminoacyl-tRNA biosynthesis
00970	b4129	Aminoacyl-tRNA biosynthesis
00970	b4134	Aminoacyl-tRNA biosynthesis
00970	b4163	Aminoacyl-tRNA biosynthesis
00970	b4164	Aminoacyl-tRNA biosynthesis
00970	b4165	Aminoacyl-tRNA biosynthesis
00970	b4258	Aminoacyl-tRNA biosynthesis
00970	b4270	Aminoacyl-tRNA biosynthesis
00970	b4368	Aminoacyl-tRNA biosynthesis
00970	b4369	Aminoacyl-tRNA biosynthesis
00970	b4370	Aminoacyl-tRNA biosynthesis
01040	b0452	Biosynthesis of unsaturated fatty acids
01040	b0494	Biosynthesis of unsaturated fatty acids
01040	b1093	Biosynthesis of unsaturated fatty acids
01040	b1253	Biosynthesis of unsaturated fatty acids
01040	b2341	Biosynthesis of unsaturated fatty acids
01040	b3846	Biosynthesis of unsaturated fatty acids
01053	b0583	Biosynthesis of siderophore group nonribosomal peptides
01053	b0586	Biosynthesis of siderophore group nonribosomal peptides
01053	b0593	Biosynthesis of siderophore group nonribosomal peptides
01053	b0594	Biosynthesis of siderophore group nonribosomal peptides
01053	b0595	Biosynthesis of siderophore group nonribosomal peptides
01053	b0596	Biosynthesis of siderophore group nonribosomal peptides
01053	b2265	Biosynthesis of siderophore group nonribosomal peptides
01100	b0002	Metabolic pathways
01100	b0003	Metabolic pathways
01100	b0004	Metabolic pathways
01100	b0008	Metabolic pathways
01100	b0009	Metabolic pathways
01100	b0025	Metabolic pathways
01100	b0029	Metabolic pathways
01100	b0031	Metabolic pathways
01100	b0032	Metabolic pathways
01100	b0033	Metabolic pathways
01100	b0048	Metabolic pathways
01100	b0052	Metabolic pathways
01100	b0061	Metabolic pathways
01100	b0062	Metabolic pathways
01100	b0063	Metabolic pathways
01100	b0071	Metabolic pathways
01100	b0072	Metabolic pathways
01100	b0073	Metabolic pathways
01100	b0074	Metabolic pathways
01100	b0077	Metabolic pathways
01100	b0078	Metabolic pathways
01100	b0086	Metabolic pathways
01100	b0087	Metabolic pathways
01100	b0088	Metabolic pathways
01100	b0090	Metabolic pathways
01100	b0091	Metabolic pathways
01100	b0092	Metabolic pathways
01100	b0096	Metabolic pathways
01100	b0103	Metabolic pathways
01100	b0109	Metabolic pathways
01100	b0114	Metabolic pathways
01100	b0115	Metabolic pathways
01100	b0116	Metabolic pathways
01100	b0118	Metabolic pathways
01100	b0120	Metabolic pathways
01100	b0121	Metabolic pathways
01100	b0124	Metabolic pathways
01100	b0125	Metabolic pathways
01100	b0131	Metabolic pathways
01100	b0133	Metabolic pathways
01100	b0134	Metabolic pathways
01100	b0142	Metabolic pathways
01100	b0154	Metabolic pathways
01100	b0159	Metabolic pathways
01100	b0166	Metabolic pathways
01100	b0171	Metabolic pathways
01100	b0173	Metabolic pathways
01100	b0175	Metabolic pathways
01100	b0179	Metabolic pathways
01100	b0180	Metabolic pathways
01100	b0181	Metabolic pathways
01100	b0182	Metabolic pathways
01100	b0184	Metabolic pathways
01100	b0185	Metabolic pathways
01100	b0186	Metabolic pathways
01100	b0200	Metabolic pathways
01100	b0215	Metabolic pathways
01100	b0221	Metabolic pathways
01100	b0222	Metabolic pathways
01100	b0237	Metabolic pathways
01100	b0238	Metabolic pathways
01100	b0242	Metabolic pathways
01100	b0243	Metabolic pathways
01100	b0261	Metabolic pathways
01100	b0268	Metabolic pathways
01100	b0271	Metabolic pathways
01100	b0273	Metabolic pathways
01100	b0284	Metabolic pathways
01100	b0285	Metabolic pathways
01100	b0286	Metabolic pathways
01100	b0311	Metabolic pathways
01100	b0312	Metabolic pathways
01100	b0323	Metabolic pathways
01100	b0335	Metabolic pathways
01100	b0337	Metabolic pathways
01100	b0344	Metabolic pathways
01100	b0350	Metabolic pathways
01100	b0351	Metabolic pathways
01100	b0352	Metabolic pathways
01100	b0356	Metabolic pathways
01100	b0369	Metabolic pathways
01100	b0381	Metabolic pathways
01100	b0383	Metabolic pathways
01100	b0386	Metabolic pathways
01100	b0388	Metabolic pathways
01100	b0394	Metabolic pathways
01100	b0403	Metabolic pathways
01100	b0414	Metabolic pathways
01100	b0415	Metabolic pathways
01100	b0417	Metabolic pathways
01100	b0418	Metabolic pathways
01100	b0420	Metabolic pathways
01100	b0421	Metabolic pathways
01100	b0423	Metabolic pathways
01100	b0425	Metabolic pathways
01100	b0428	Metabolic pathways
01100	b0429	Metabolic pathways
01100	b0430	Metabolic pathways
01100	b0431	Metabolic pathways
01100	b0432	Metabolic pathways
01100	b0444	Metabolic pathways
01100	b0469	Metabolic pathways
01100	b0470	Metabolic pathways
01100	b0474	Metabolic pathways
01100	b0475	Metabolic pathways
01100	b0480	Metabolic pathways
01100	b0485	Metabolic pathways
01100	b0505	Metabolic pathways
01100	b0507	Metabolic pathways
01100	b0508	Metabolic pathways
01100	b0509	Metabolic pathways
01100	b0512	Metabolic pathways
01100	b0514	Metabolic pathways
01100	b0521	Metabolic pathways
01100	b0522	Metabolic pathways
01100	b0523	Metabolic pathways
01100	b0524	Metabolic pathways
01100	b0529	Metabolic pathways
01100	b0593	Metabolic pathways
01100	b0628	Metabolic pathways
01100	b0630	Metabolic pathways
01100	b0632	Metabolic pathways
01100	b0638	Metabolic pathways
01100	b0639	Metabolic pathways
01100	b0640	Metabolic pathways
01100	b0662	Metabolic pathways
01100	b0674	Metabolic pathways
01100	b0678	Metabolic pathways
01100	b0680	Metabolic pathways
01100	b0688	Metabolic pathways
01100	b0693	Metabolic pathways
01100	b0720	Metabolic pathways
01100	b0721	Metabolic pathways
01100	b0722	Metabolic pathways
01100	b0723	Metabolic pathways
01100	b0724	Metabolic pathways
01100	b0726	Metabolic pathways
01100	b0727	Metabolic pathways
01100	b0728	Metabolic pathways
01100	b0729	Metabolic pathways
01100	b0733	Metabolic pathways
01100	b0734	Metabolic pathways
01100	b0750	Metabolic pathways
01100	b0754	Metabolic pathways
01100	b0755	Metabolic pathways
01100	b0756	Metabolic pathways
01100	b0757	Metabolic pathways
01100	b0758	Metabolic pathways
01100	b0759	Metabolic pathways
01100	b0767	Metabolic pathways
01100	b0771	Metabolic pathways
01100	b0772	Metabolic pathways
01100	b0774	Metabolic pathways
01100	b0775	Metabolic pathways
01100	b0776	Metabolic pathways
01100	b0777	Metabolic pathways
01100	b0778	Metabolic pathways
01100	b0781	Metabolic pathways
01100	b0783	Metabolic pathways
01100	b0785	Metabolic pathways
01100	b0789	Metabolic pathways
01100	b0823	Metabolic pathways
01100	b0827	Metabolic pathways
01100	b0839	Metabolic pathways
01100	b0844	Metabolic pathways
01100	b0870	Metabolic pathways
01100	b0903	Metabolic pathways
01100	b0907	Metabolic pathways
01100	b0908	Metabolic pathways
01100	b0910	Metabolic pathways
01100	b0915	Metabolic pathways
01100	b0918	Metabolic pathways
01100	b0928	Metabolic pathways
01100	b0931	Metabolic pathways
01100	b0932	Metabolic pathways
01100	b0937	Metabolic pathways
01100	b0945	Metabolic pathways
01100	b0954	Metabolic pathways
01100	b0978	Metabolic pathways
01100	b0979	Metabolic pathways
01100	b0980	Metabolic pathways
01100	b1007	Metabolic pathways
01100	b1008	Metabolic pathways
01100	b1009	Metabolic pathways
01100	b1010	Metabolic pathways
01100	b1011	Metabolic pathways
01100	b1012	Metabolic pathways
01100	b1014	Metabolic pathways
01100	b1033	Metabolic pathways
01100	b1046	Metabolic pathways
01100	b1054	Metabolic pathways
01100	b1062	Metabolic pathways
01100	b1090	Metabolic pathways
01100	b1091	Metabolic pathways
01100	b1092	Metabolic pathways
01100	b1093	Metabolic pathways
01100	b1095	Metabolic pathways
01100	b1098	Metabolic pathways
01100	b1099	Metabolic pathways
01100	b1106	Metabolic pathways
01100	b1107	Metabolic pathways
01100	b1119	Metabolic pathways
01100	b1131	Metabolic pathways
01100	b1136	Metabolic pathways
01100	b1190	Metabolic pathways
01100	b1197	Metabolic pathways
01100	b1199	Metabolic pathways
01100	b1200	Metabolic pathways
01100	b1207	Metabolic pathways
01100	b1208	Metabolic pathways
01100	b1210	Metabolic pathways
01100	b1215	Metabolic pathways
01100	b1236	Metabolic pathways
01100	b1238	Metabolic pathways
01100	b1241	Metabolic pathways
01100	b1249	Metabolic pathways
01100	b1260	Metabolic pathways
01100	b1261	Metabolic pathways
01100	b1262	Metabolic pathways
01100	b1263	Metabolic pathways
01100	b1264	Metabolic pathways
01100	b1270	Metabolic pathways
01100	b1276	Metabolic pathways
01100	b1277	Metabolic pathways
01100	b1278	Metabolic pathways
01100	b1281	Metabolic pathways
01100	b1288	Metabolic pathways
01100	b1297	Metabolic pathways
01100	b1298	Metabolic pathways
01100	b1300	Metabolic pathways
01100	b1301	Metabolic pathways
01100	b1302	Metabolic pathways
01100	b1378	Metabolic pathways
01100	b1385	Metabolic pathways
01100	b1386	Metabolic pathways
01100	b1393	Metabolic pathways
01100	b1395	Metabolic pathways
01100	b1406	Metabolic pathways
01100	b1409	Metabolic pathways
01100	b1444	Metabolic pathways
01100	b1461	Metabolic pathways
01100	b1478	Metabolic pathways
01100	b1493	Metabolic pathways
01100	b1521	Metabolic pathways
01100	b1524	Metabolic pathways
01100	b1525	Metabolic pathways
01100	b1539	Metabolic pathways
01100	b1580	Metabolic pathways
01100	b1581	Metabolic pathways
01100	b1584	Metabolic pathways
01100	b1593	Metabolic pathways
01100	b1602	Metabolic pathways
01100	b1603	Metabolic pathways
01100	b1606	Metabolic pathways
01100	b1611	Metabolic pathways
01100	b1612	Metabolic pathways
01100	b1613	Metabolic pathways
01100	b1617	Metabolic pathways
01100	b1622	Metabolic pathways
01100	b1623	Metabolic pathways
01100	b1636	Metabolic pathways
01100	b1638	Metabolic pathways
01100	b1662	Metabolic pathways
01100	b1676	Metabolic pathways
01100	b1680	Metabolic pathways
01100	b1686	Metabolic pathways
01100	b1692	Metabolic pathways
01100	b1693	Metabolic pathways
01100	b1694	Metabolic pathways
01100	b1702	Metabolic pathways
01100	b1704	Metabolic pathways
01100	b1723	Metabolic pathways
01100	b1740	Metabolic pathways
01100	b1744	Metabolic pathways
01100	b1745	Metabolic pathways
01100	b1746	Metabolic pathways
01100	b1747	Metabolic pathways
01100	b1748	Metabolic pathways
01100	b1761	Metabolic pathways
01100	b1764	Metabolic pathways
01100	b1767	Metabolic pathways
01100	b1768	Metabolic pathways
01100	b1779	Metabolic pathways
01100	b1780	Metabolic pathways
01100	b1805	Metabolic pathways
01100	b1814	Metabolic pathways
01100	b1817	Metabolic pathways
01100	b1818	Metabolic pathways
01100	b1819	Metabolic pathways
01100	b1842	Metabolic pathways
01100	b1849	Metabolic pathways
01100	b1850	Metabolic pathways
01100	b1851	Metabolic pathways
01100	b1852	Metabolic pathways
01100	b1854	Metabolic pathways
01100	b1855	Metabolic pathways
01100	b1896	Metabolic pathways
01100	b1897	Metabolic pathways
01100	b1912	Metabolic pathways
01100	b1927	Metabolic pathways
01100	b1961	Metabolic pathways
01100	b1970	Metabolic pathways
01100	b1991	Metabolic pathways
01100	b1992	Metabolic pathways
01100	b1993	Metabolic pathways
01100	b2010	Metabolic pathways
01100	b2019	Metabolic pathways
01100	b2020	Metabolic pathways
01100	b2021	Metabolic pathways
01100	b2022	Metabolic pathways
01100	b2023	Metabolic pathways
01100	b2024	Metabolic pathways
01100	b2025	Metabolic pathways
01100	b2026	Metabolic pathways
01100	b2028	Metabolic pathways
01100	b2029	Metabolic pathways
01100	b2042	Metabolic pathways
01100	b2048	Metabolic pathways
01100	b2049	Metabolic pathways
01100	b2052	Metabolic pathways
01100	b2053	Metabolic pathways
01100	b2065	Metabolic pathways
